ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Households_with_access_to_openspace,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E05000586,Shadwell,Tower Hamlets,27.64,44.5,93.56,0.99,36360,37.7,86.4,6.5,42.3581509,12.82356049
E05000587,Spitalfields and Banglatown,Tower Hamlets,23.65,36.03,97.06,1.32,39910,44.4,80.08,6.5,43.8081842,13.57857264
E05000588,Weavers,Tower Hamlets,26.07,44.83,212.03,0.96,37760,43.9,89.16,6.7,35.7811446,11.00276716
E05000589,Whitechapel,Tower Hamlets,28.65,38.83,78.91,1.03,37600,45,75.94,6,40.6899599,10.43786982
E05000590,Cann Hall,Waltham Forest,21.95,31.2,101.38,1.87,32700,30.5,14.94,5.1,16.6992476,12.64620889
E05000591,Cathall,Waltham Forest,23.59,34.7,104.28,1.99,30950,28.6,49.41,5.3,20.935625,13.85004463
E05000592,Chapel End,Waltham Forest,23.58,25.53,97.05,1.17,36440,29.3,20.55,4.1,29.1165378,9.103279358
E05000593,Chingford Green,Waltham Forest,17.2,20.57,93.22,0.96,39280,27.1,51.76,5.5,51.9270443,6.576097657
E05000594,Endlebury,Waltham Forest,18.56,22.77,81.84,1.11,38580,24.7,61.34,5.1,44.5608939,8.029861617
E05000595,Forest,Waltham Forest,22.81,20.07,108.01,1.13,36080,33.3,16.61,5.3,34.1824223,10.33599518
E05000596,Grove Green,Waltham Forest,23.78,21.03,97.56,1.33,36350,34.8,4.63,4.3,24.620073,9.812206573
E05000597,Hale End and Highams Park,Waltham Forest,18.43,23.73,84.83,0.91,39490,28.9,42.97,4.4,45.7187463,7.968934661
E05000598,Hatch Lane,Waltham Forest,17.65,26.67,94.54,1.32,36110,24.1,57.81,6.4,37.7112482,8.070048745
E05000599,High Street,Waltham Forest,23.87,26.63,230.12,1.19,34810,35.7,2.09,4.7,34.8885641,9.204073934
E05000600,Higham Hill,Waltham Forest,27.47,36.3,84.69,1.19,31270,24.7,19.6,6,24.7472918,12.60997067
E05000601,Hoe Street,Waltham Forest,24.67,27.57,135.65,1.35,34890,36.4,22.29,5.6,26.764261,12.0515921
E05000602,Larkswood,Waltham Forest,22.84,26.57,108.08,1.23,35170,21.6,30.49,5.9,36.841719,8.717679944
E05000603,Lea Bridge,Waltham Forest,21.78,28.53,119.77,1.59,31450,26.6,41.97,5.9,24.5086382,12.46934297
E05000604,Leyton,Waltham Forest,19.54,35.53,123.88,1.74,31040,28.5,76.39,5.8,11.1456061,13.80789022
E05000605,Leytonstone,Waltham Forest,17.36,21.2,129.58,1.18,38700,40.8,17.03,4.1,40.1626178,9.668651307
E05000606,Markhouse,Waltham Forest,25.06,29.53,116.2,1.35,33780,30.9,49.18,5.3,28.8065812,10.22743947
E05000607,Valley,Waltham Forest,20.51,28.73,182.43,1.21,34250,20.2,20.2,5.6,29.647926,8.973463687
E05000608,William Morris,Waltham Forest,25.06,31.9,97.78,1.11,35070,33.6,34.9,5,31.7989483,9.780918728
E05000609,Wood Street,Waltham Forest,21.85,29.17,106.17,1.15,35130,33,4.48,5.3,32.2015914,10.76312307
E05000610,Balham,Wandsworth,12.3,8.6,139.23,0.71,53420,67.6,53.85,2.7,60.2907227,3.903964491
E05000611,Bedford,Wandsworth,17.96,17.13,126.63,0.81,46410,61.1,48.96,3.7,41.1814001,5.301701908
E05000612,Earlsfield,Wandsworth,21.85,22.5,87.54,0.88,44360,53.8,85.31,3.5,52.4260406,4.947378774
E05000613,East Putney,Wandsworth,11.76,14.13,72.23,0.97,49010,62.9,60,3.3,41.0001204,4.048460374
E05000614,Fairfield,Wandsworth,21.25,16.57,109.82,1.05,48590,62.8,81.36,2.9,51.6614538,3.917050691
E05000615,Furzedown,Wandsworth,19.96,25,82.8,0.77,38240,41,40.98,4.3,53.5859147,9.38433951
E05000616,Graveney,Wandsworth,21.16,26.6,136.64,0.95,37960,44.9,78.4,4.5,42.5503609,7.464535015
E05000617,Latchmere,Wandsworth,27.13,39.17,132.75,1.08,34990,40.7,29.81,5.4,41.6754009,9.386322464
E05000618,Nightingale,Wandsworth,18.5,10.6,104.96,0.72,50790,63,68.41,3.5,45.2594055,4.256224729
E05000619,Northcote,Wandsworth,10.4,5.53,150.97,0.67,55810,68.7,43.58,2.4,47.2392972,3.114503817
E05000620,Queenstown,Wandsworth,25.64,34.97,78.51,1.27,39580,50,40.78,3.9,31.6378512,7.416493678
E05000621,Roehampton,Wandsworth,22.22,37.13,88.97,1.55,30320,27.3,79,5.6,34.9777353,13.46747315
E05000622,St Mary's Park,Wandsworth,23.77,25.43,89.9,0.99,44720,52.1,65.58,3.6,42.2836794,5.867322797
E05000623,Shaftesbury,Wandsworth,26.57,16.1,127.64,0.78,50410,61.7,20.66,3.5,55.1285615,4.443772672
E05000624,Southfields,Wandsworth,17.3,14.7,99.04,0.63,48160,57.6,72.76,2.8,69.0048183,4.325108853
E05000625,Thamesfield,Wandsworth,11.7,6.9,117.15,0.61,55380,68.6,64.53,2.3,65.3101525,3.227423073
E05000626,Tooting,Wandsworth,21.04,32.13,74.94,0.93,36000,42.5,84.2,4.6,37.5794672,8.688854143
E05000627,Wandsworth Common,Wandsworth,16.67,7.4,85.74,0.59,51420,53.9,79.06,3.5,52.1507865,5.160684964
E05000628,West Hill,Wandsworth,18.36,26.9,60.89,0.99,40360,45.1,87.27,4.2,45.2072534,6.480888319
E05000629,West Putney,Wandsworth,21.8,22.1,80.73,1.46,43280,48.7,77.03,4.9,33.4092496,5.955489245
E05000630,Abbey Road,Westminster,23.96,17.8,66.41,1.08,52200,56.6,16.64,4.5,42.5314928,4.917463076
E05000631,Bayswater,Westminster,20.22,19.97,142.99,1.08,49960,61.3,6.44,4.8,39.4678018,5.928308824
E05000632,Bryanston and Dorset Square,Westminster,35.71,23.07,99.51,1.14,51370,58,30.19,4.1,50.801741,5.876407739
E05000633,Churchill,Westminster,26.92,45.97,133.75,0.95,39530,38.4,63.24,7.5,44.8933277,9.577404969
E05000634,Church Street,Westminster,26.78,51.67,91.47,1.4,26290,26.4,51.69,10.9,43.7975093,16.86486486
E05000635,Harrow Road,Westminster,27.27,44.3,111.87,1.18,35000,39.5,31.16,7.6,43.117625,11.7508997
E05000636,Hyde Park,Westminster,15.84,28.2,64.94,1.43,46880,54.7,36.3,5.2,46.3215789,7.642658061
E05000637,Knightsbridge and Belgravia,Westminster,,2.63,69.05,0.42,88330,47.8,36.33,1.8,66.6708333,3.82959438
E05000638,Lancaster Gate,Westminster,22.13,23.1,183.12,1.59,49290,60.8,1.86,4,57.4991634,6.822044185
E05000639,Little Venice,Westminster,22.02,29.47,110.49,1.08,48770,56.5,70.41,5.8,46.4232633,6.212967665
E05000640,Maida Vale,Westminster,23.72,35.9,118.77,1.34,45660,52.2,23.58,5.9,24.4899501,6.846473029
E05000641,Marylebone High Street,Westminster,,15.63,75.62,0.99,58370,61.5,4.46,2.9,74.3819712,4.685325499
E05000642,Queen's Park,Westminster,26.76,45.33,97.59,1.23,32260,30.3,41.5,9,36.5969351,13.31114809
E05000643,Regent's Park,Westminster,21.66,27.47,72.59,1.03,46510,52.2,64.37,6,40.7433346,6.582584658
E05000644,St James's,Westminster,24.18,18.37,76.23,0.95,52520,49.9,66.49,4.9,26.6605595,6.997261941
E05000645,Tachbrook,Westminster,25.74,23.8,84.03,0.82,47340,55.1,90.84,5.7,57.6807942,5.792197452
E05000646,Vincent Square,Westminster,22.22,29.5,38.02,0.74,46550,53.1,92.56,5.6,46.2606686,7.682862656
E05000647,Warwick,Westminster,21.24,27.27,64.78,0.86,50250,58.5,3.78,5.2,47.9218439,6.15255658
E05000648,Westbourne,Westminster,26.55,50.33,104.08,1.18,32390,35.7,72.76,8.7,49.3090886,11.93333333
E05000649,West End,Westminster,21.21,16.5,117.2,0.8,54970,54.6,39.68,4.5,39.4875972,6.018246027
